Index,Article,Swedish Word,English Meaning,Part of Speech,Swedish Sentence,
154,,viss,"certain, some",adjective,En viss person ringde.,A certain person called.
155,,dock,"however, yet",adverb,Det är dyrt. Jag köper det dock.,"It is expensive. However, I will buy it."
156,,egen,own,adjective,Jag har ett eget rum.,I have my own room.
157,ett,folk,"people, folk",noun,Det var mycket folk i staden.,There were a lot of people in the city.
158,en,regering,government,noun,Regeringen fattade ett beslut.,The government made a decision.
159,,fram,"forward, forth",particle,Kom fram till tavlan.,Come up to the board.
160,,honom,him,pronoun,Jag ringde honom igår.,I called him yesterday.
161,att,söka,"to search, look for; apply",verb,Jag söker ett jobb.,I am looking for a job.
162,,dig,you,pronoun,Jag älskar dig.,I love you.
162s,,dej,you [spoken],pronoun,Jag älskar dej.,I love you.
163,,utan,but,conjunction,Han är inte lärare utan läkare.,He is not a teacher but a doctor.
164,en,sak,thing,noun,Det är en viktig sak.,It is an important thing.
165,,hög,"high, tall; loud",adjective,Berget är väldigt högt.,The mountain is very high.
166,,länge,for a long time,adverb,Vi väntade länge.,We waited for a long time.
167,en,person,person,noun,Hon är en snäll person.,She is a kind person.
168,att,ligga,to lie,verb,Boken ligger på bordet.,The book is lying on the table.
169,en,son,son,noun,Deras son är fem år.,Their son is five years old.
170,,både,both,conjunction,Jag gillar både te och kaffe.,I like both tea and coffee.
171,,just,"just, exactly",adverb,Det är just det jag menar.,That is exactly what I mean.
172,att,lägga,"to lay, put",verb,Lägg boken på bordet.,Put the book on the table.
173,ett,antal,"number, quantity",noun,Ett stort antal personer kom.,A large number of people came.
174,,redan,already,adverb,Är du redan här?,Are you already here?
175,en,kvinna,woman,noun,Kvinnan vid dörren är min chef.,The woman at the door is my boss.
176,ett,problem,problem,noun,Vi har ett litet problem.,We have a small problem.
177,ett,fall,case; fall,noun,I så fall stannar jag hemma.,In that case I will stay home.
178,en,man,man,noun,Mannen läser en bok.,The man is reading a book.
179,,aldrig,never,adverb,Jag glömmer dig aldrig.,I will never forget you.
179s,,aldri,never [spoken; g silent],adverb,Jag glömmer dej aldri.,I will never forget you.
180,,ofta,often,adverb,Vi äter ofta ute.,We often eat out.
181,,varje,"each, every",determiner,Varje dag är en gåva.,Every day is a gift.
182,en,artikel,article,noun,Jag läste en intressant artikel.,I read an interesting article.
183,att,anse,"to consider, regard",verb,Jag anser att han har rätt.,I consider that he is right.
184,att,öva,to practice,verb,Jag måste öva mer.,I have to practice more.
185,ett,lag,law,noun,Det är emot lagen.,It is against the law.
186,ett,slag,"kind, sort; blow",noun,Vilket slag av musik gillar du?,What kind of music do you like?
187,ett,tal,number; speech,noun,Han höll ett långt tal.,He gave a long speech.
188,,åt,"to, for",preposition,Jag köpte en present åt henne.,I bought a present for her.
189,,nog,probably; enough,adverb,Det blir nog bra.,It will probably be fine.
190,en,bok,book,noun,Jag läser en spännande bok.,I am reading an exciting book.
191,,varför,why,adverb,Varför gråter du?,Why are you crying?
192,att,handla,to shop; to be about,verb,Jag ska handla mat.,I am going to shop for food.
193,,gammal,old,adjective,Mitt hus är väldigt gammalt.,My house is very old.
194,en,bild,"picture, image",noun,Det är en fin bild.,It is a nice picture.
195,en,sida,side; page,noun,Öppna boken på sida tio.,Open the book on page ten.
196,,så,"so (that), and then",subjunction,"Skynda dig, så hinner vi.","Hurry up, so we will make it."
197,att,öka,to increase,verb,Priserna ökar varje år.,Prices increase every year.
198,,därför,"therefore, that's why",adverb,"Det regnade, därför stannade vi hemma.","It rained, that is why we stayed home."
199,,sen,late,adjective,Bussen är sen.,The bus is late.
200,,god,good,adjective,Maten är väldigt god.,The food is very good.
200s,,go,good [spoken; d silent],adjective,Maten är väldit go.,The food is very good.
201,,hos,at,preposition,Jag bor hos min mormor.,I live at my grandmother's.
202,,alltid,always,adverb,Hon är alltid glad.,She is always happy.
202s,,allti,always [spoken; d silent],adverb,Hon är allti glad.,She is always happy.
203,att,skapa,to create,verb,Vi vill skapa något nytt.,We want to create something new.
204,ett,arbete,"work, job",noun,Jag har mycket arbete.,I have a lot of work.
205,att,kapa,to hijack; to cut off,verb,Pirater kapade fartyget.,Pirates hijacked the ship.
206,,samt,"and, as well as",conjunction,"Vi köpte bröd, mjölk samt smör.","We bought bread, milk, as well as butter."
207,en,blogg,blog,noun,Hon skriver en matblogg.,She writes a food blog.
208,,innan,before,subjunction,Borsta tänderna innan du sover.,Brush your teeth before you sleep.
209,,som,"as, at",adverb,Jordgubbarna är som bäst i juli.,Strawberries are at their best in July.
210,,ur,"out of, from",preposition,Hon tog en bok ur väskan.,She took a book out of the bag.
211,att,gälla,"to apply, be valid; concern",verb,Biljetten gäller en månad.,The ticket is valid for one month.
212,att,verka,"to seem; to work, act",verb,Han verkar trött.,He seems tired.
213,att,tala,"to speak, talk",verb,Jag vill lära mig att tala svenska.,I want to learn to speak Swedish.
214,att,bära,to carry; to bear,verb,Kan du bära väskan?,Can you carry the bag?
215,,för,too,adverb,Kaffet är för varmt.,The coffee is too hot.
216,en,väg,"road, way",noun,Vägen är lång.,The road is long.
217,ett,samhälle,society; community,noun,Vi lever i ett modernt samhälle.,We live in a modern society.
218,,alltså,"so, thus, in other words",adverb,"Han kom inte, alltså väntade vi.","He didn't come, so we waited."
218s,,asså,"so, thus, in other words [spoken]",adverb,"Han kom inte, asså väntade vi.","He didn't come, so we waited."
219,en,stat,state,noun,Staten betalar för skolan.,The state pays for the school.
220,en,stad,"city, town",noun,Stockholm är en vacker stad.,Stockholm is a beautiful city.
221,att,höra,to hear,verb,Kan du höra musiken?,Can you hear the music?
222,att,innebära,"to mean, entail",verb,Vad innebär det här för oss?,What does this mean for us?
223,,genom att,by,subjunction,Man lär sig genom att öva.,You learn by practicing.
224,ett,företag,"company, business",noun,Hon startade ett företag.,She started a company.
225,en,möjlighet,"possibility, opportunity",noun,Det är en bra möjlighet.,It is a good opportunity.
226,ett,ord,word,noun,Jag förstår inte detta ord.,I don't understand this word.
227,,politisk,political,adjective,Det är en politisk fråga.,It is a political question.
228,att,välja,to choose,verb,Du får välja en glass.,You may choose an ice cream.
229,,er,you (obj. pl.); your,pronoun,Jag ser er imorgon.,I will see you tomorrow.
230,att,förstå,to understand,verb,Jag förstår inte frågan.,I don't understand the question.
231,ett,inlägg,post; contribution,noun,Hon skrev ett inlägg på bloggen.,She wrote a post on the blog.
232,ett,ägg,egg,noun,Jag äter ett ägg till frukost.,I eat an egg for breakfast.
233,,te,tea,noun,Vill du ha en kopp te?,Would you like a cup of tea?
234,att,spela,to play,verb,Barnen spelar fotboll.,The children are playing football.
235,,så att,so that,subjunction,Tala högt så att alla hör.,Speak loudly so that everyone can hear.
236,,lika,"equally, as",adverb,Hon är lika gammal som jag.,She is as old as me.
237,att,hitta,to find,verb,Jag kan inte hitta mina nycklar.,I can't find my keys.
238,ett,tag,"hold, grip; a while",noun,Vänta ett tag.,Wait a while.
239,att,dra,"to pull, draw",verb,Dra i dörren.,Pull the door.
240,att,leda,to lead,verb,Hon ska leda mötet.,She will lead the meeting.
241,,gärna,"gladly, willingly",adverb,Jag hjälper dig gärna.,I will gladly help you.
242,,ändå,"still, anyway",adverb,"Det regnade, men vi gick ut ändå.","It rained, but we went out anyway."
243,ett,förslag,"suggestion, proposal",noun,Jag har ett förslag.,I have a suggestion.
244,att,lyckas,to succeed,verb,Han lyckades med provet.,He succeeded on the test.
245,,dessutom,"besides, moreover",adverb,Det är dyrt och dessutom fult.,It is expensive and moreover ugly.
246,ett,område,"area, field",noun,Det är ett vackert område.,It is a beautiful area.
247,en,lag,team,noun,Vårt lag vann matchen.,Our team won the game.
248,,svår,"difficult, hard",adjective,Det är en svår fråga.,It is a difficult question.
249,att,lära,to teach; to learn,verb,Hon vill lära sig spanska.,She wants to learn Spanish.
250,att,sätta,"to set, put, place",verb,Sätt dig ner.,Sit down.
251,en,plats,place; seat,noun,Är den här platsen ledig?,Is this seat free?
252,,lång,long; tall,adjective,Det var en lång dag.,It was a long day.
253,att,lämna,to leave; to hand over,verb,Jag måste lämna nu.,I have to leave now.
254,att,bygga,to build,verb,De ska bygga ett nytt hus.,They are going to build a new house.
255,,politik,politics; policy,noun,Han är intresserad av politik.,He is interested in politics.
256,,tidigare,"earlier, previously",adverb,Vi har träffats tidigare.,We have met before.
257,att,kalla,to call,verb,Alla kallar honom Bobo.,Everyone calls him Bobo.
258,en,peng,coin; (pl. pengar) money,noun,Jag behöver mer pengar.,I need more money.
259,,väldigt,very,adverb,Det är väldigt kallt idag.,It is very cold today.
259s,,väldit,very [spoken; g silent],adverb,De är väldit kallt idag.,It is very cold today.
260,att,leva,"to live, be alive",verb,Jag vill leva ett lugnt liv.,I want to live a calm life.
261,att,ställa,"to put, place; to set",verb,Ställ vasen på bordet.,Put the vase on the table.
262,att,följa,to follow,verb,Följ mig!,Follow me!
263,en,vecka,week,noun,Vi ses nästa vecka.,See you next week.
264,,ja,yes,interjection,"Ja, det stämmer.","Yes, that is right."
265,att,ske,"to happen, occur",verb,Vad kommer att ske nu?,What will happen now?
266,ett,parti,(political) party,noun,Vilket parti röstar du på?,Which party do you vote for?
267,att,kräva,"to demand, require",verb,Jobbet kräver tålamod.,The job requires patience.
268,,utveckling,development,noun,Det är en positiv utveckling.,It is a positive development.
269,,faktiskt,"actually, in fact",adverb,Jag gillar det faktiskt.,I actually like it.
270,att,ena,to unite,verb,Målet är att ena landet.,The goal is to unite the country.
271,att,svara,"to answer, reply",verb,Kan du svara på frågan?,Can you answer the question?
272,,ner,down,particle,Sätt dig ner.,Sit down.
273,att,fortsätta,to continue,verb,Vi måste fortsätta arbeta.,We have to continue working.
274,en,skola,school,noun,Mina barn går i skolan.,My children go to school.
275,att,bruka,to usually (do); to cultivate,verb,Jag brukar dricka kaffe på morgonen.,I usually drink coffee in the morning.
276,ett,mål,goal; meal,noun,Vårt mål är att vinna.,Our goal is to win.
277,ett,par,"pair, couple",noun,Jag köpte ett par skor.,I bought a pair of shoes.
278,,sent,late,adverb,Han kom hem sent.,He came home late.
279,,ekonomisk,"economic, financial",adjective,Det är ett ekonomiskt problem.,It is an economic problem.
280,,kl.,o'clock (abbr. of klockan),noun,Vi ses klockan tre.,See you at three o'clock.
281,,dålig,"bad, poor",adjective,Det är en dålig idé.,It is a bad idea.
281s,,dåli,"bad, poor [spoken; g silent]",adjective,De är en dåli idé.,It is a bad idea.
282,ett,namn,name,noun,Vad är ditt namn?,What is your name?
283,,igen,again,adverb,Försök igen!,Try again!
284,,verkligen,"really, truly",adverb,Det var verkligen roligt.,It was really fun.
285,att,mena,to mean,verb,Vad menar du?,What do you mean?
286,,fortfarande,still,adverb,Han sover fortfarande.,He is still sleeping.
287,en,grupp,group,noun,Vi arbetar i en grupp.,We work in a group.
288,ett,beslut,decision,noun,Det var ett svårt beslut.,It was a difficult decision.
289,,även om,"even if, although",subjunction,Jag kommer även om det regnar.,I will come even if it rains.
290,,enda,"only, sole",adjective,Du är min enda vän.,You are my only friend.
291,,bort,away,particle,Gå inte bort.,Don't go away.
292,att,slå,"to hit, strike; to beat",verb,Klockan slår tolv.,The clock strikes twelve.
293,,möjlig,possible,adjective,Det finns en möjlig lösning.,There is a possible solution.
293s,,möjli,possible [spoken; g silent],adjective,De finns en möjli lösning.,There is a possible solution.
294,,många,many,pronoun,Många människor var där.,Many people were there.
295,att,hända,to happen,verb,Vad kan hända?,What can happen?
296,att,ämna,to intend,auxiliary verb,Jag ämnar resa till Spanien.,I intend to travel to Spain.
297,,endast,only,adverb,Det finns endast en plats kvar.,There is only one seat left.
298,en,miljon,million,noun,Staden har en miljon invånare.,The city has a million inhabitants.
299,,vidare,further; on,adverb,Vi går vidare till nästa fråga.,We move on to the next question.
300,,ganska,"quite, fairly",adverb,Det är ganska kallt.,It is quite cold.
301,ett,svar,"answer, reply",noun,Jag väntar på ditt svar.,I am waiting for your answer.
302,,varenda,every single,determiner,Han läste varenda bok i hyllan.,He read every single book on the shelf.
303,,istället,instead (also: i stället),adverb,Ta te istället för kaffe.,Have tea instead of coffee.
304,,först,first; not until,adverb,Först måste vi äta.,First we have to eat.
305,att,arbeta,to work,verb,Jag arbetar på ett kontor.,I work in an office.
306,,heller,either,adverb,Jag vill inte heller gå.,I don't want to go either.
307,,riktigt,really; correctly,adverb,Det är inte riktigt sant.,It is not quite true.
307s,,riktit,really; correctly [spoken; g silent],adverb,De är inte riktit sant.,It is not quite true.
308,en,hand,hand,noun,Han håller en bok i handen.,He is holding a book in his hand.
309,en,uppgift,task; piece of information,noun,Jag har en svår uppgift.,I have a difficult task.
310,att,fungera,"to work, function",verb,Datorn fungerar inte.,The computer doesn't work.
310s,att,funka,"to work, function [spoken]",verb,Datorn funkar inte.,The computer doesn't work.
311,att,beta,to graze,verb,Korna betar på ängen.,The cows graze in the meadow.
312,att,köpa,to buy,verb,Jag vill köpa en present.,I want to buy a present.
313,,nästan,"almost, nearly",adverb,Jag är nästan klar.,I am almost done.
314,,bra,well,adverb,Hon sjunger bra.,She sings well.
315,,bland,among,preposition,Hon stod bland publiken.,She stood among the audience.
316,,december,December,noun,Jul firas i december.,Christmas is celebrated in December.
317,att,sitta,to sit,verb,Får jag sitta här?,May I sit here?
318,,precis,"exactly, precisely",adverb,Det är precis vad jag menar.,That is exactly what I mean.
319,,hennes,"her, hers",pronoun,Det är hennes bok.,It is her book.
320,att,åta sig,"to take on, undertake",verb,Han åtog sig uppgiften.,He took on the task.
321,,bland annat,among other things (abbr. bl.a.),adverb,Vi besökte bland annat museet.,"We visited, among other things, the museum."
322,ett,krig,war,noun,Landet är i krig.,The country is at war.
323,,till exempel,for example (abbr. t.ex.),adverb,"Jag gillar frukt, till exempel äpplen.","I like fruit, for example apples."
324,,tillsammans,together,adverb,Vi arbetar tillsammans.,We work together.
325,,henne,her (object),pronoun,Jag såg henne igår.,I saw her yesterday.
326,,intressant,interesting,adjective,Det var en intressant film.,It was an interesting movie.
327,ett,val,choice; election,noun,Det är ett svårt val.,It is a difficult choice.
328,en,kyrka,church,noun,Kyrkan ligger i centrum.,The church is in the center.
329,,egentligen,"actually, really",adverb,Vad menar du egentligen?,What do you actually mean?
330,,inför,"before, ahead of",preposition,Hon är nervös inför provet.,She is nervous before the exam.
331,en,historia,story; history,noun,Berätta en historia.,Tell a story.
332,ett,jobb,"job, work",noun,Jag har ett nytt jobb.,I have a new job.
333,att,berätta,"to tell, narrate",verb,Berätta vad som hände.,Tell me what happened.
334,,vanlig,"common, ordinary, usual",adjective,Det är en helt vanlig dag.,It is a completely ordinary day.
334s,,vanli,"common, ordinary, usual [g silent]",adjective,Det är en helt vanli dag.,It is a completely ordinary day.
335,att,rätta,to correct,verb,Läraren rättar proven.,The teacher corrects the tests.
336,,januari,January,noun,Det är kallt i januari.,It is cold in January.
337,en,information,information,noun,Jag behöver mer information.,I need more information.
338,,flest,most (in number),adjective,Vilket lag har flest poäng?,Which team has the most points?
339,,ung,young,adjective,Hon är fortfarande ung.,She is still young.
340,,en,one,pronoun,En av dem är min vän.,One of them is my friend.
